Название продукта,Категория продукта,Цена продукта,Город
Cinco Jotas Лопатка Иберико на кости 5-6 кг,Мясо,89 000 Т,Алматы
Cinco Jotas Хамон Иберико на кости 6-7 кг,Мясо,110 000 Т,Алматы
Артишок на гриле сердцевина Le Bonta 314 мл,Антипасти,4 500 Т,Алматы
Le Bonta Перец черри с сыром 314 мл,Антипасти,4 500 Т,Алматы
Артишок со стеблями All Romana по-римски 580 мл,Антипасти,6 000 Т,Алматы
Оливки Микс Барисейн Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
"Оливки фиолетовые ""Saporite"" Le Bonta 314 мл",Антипасти,3 500 Т,Алматы
Перец на Гриле в масле Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
Песто алла Дженовезе Le Bonta 212 мл,Антипасти,3 000 Т,Алматы
Le Bonta Оливки зеленые сорта Bella di Cerignola 314 мл,Антипасти,3 500 Т,Алматы
"Перец Черри с Тунцом и Каперсами, Le Bonta 314 мл",Антипасти,4 500 Т,Алматы
"Джем инжирный Le Bonta, 314 мл",Антипасти,3 500 Т,Алматы
Le Bonta Антипасто Рустико в масле 314 мл,Антипасти,3 500 Т,Алматы
Грибной Микс Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
Помидоры вяленые alla Pugliese Le Bonta 314 мл,Антипасти,4 200 Т,Алматы
Оливки зеленые сорта Bella di Cerignola Le Bonta 580 мл,Антипасти,4 500 Т,Алматы
Каперсы на веточке Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
Маринованное Филе Анчоуса Medusa 200 гр,Антипасти,3 990 Т,Алматы
Le Bonta Песто алла Дженовезе 580 мл,Антипасти,4 300 Т,Алматы
Le Bonta Оливки Зеленые сорта Bella di Cerignola 3100 гр 7/9,Антипасти,18 800 Т,Алматы
Помидоры вяленые alla Pugliese Le Bonta  580 мл,Антипасти,4 800 Т,Алматы
Соус с Базиликом Le Bonta 314 мл,Антипасти,2 900 Т,Алматы
Оливки черные и зеленые без косточек Gustose Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
Баклажаны на гриле Le Bonta 314 мл,Антипасти,2 800 Т,Алматы
Le Bonta Соус Аллараббиата 314 мл,Антипасти,2 900 Т,Алматы
Le Bonta Шампиньоны на гриле 314 мл,Антипасти,3 500 Т,Алматы
Миндальная паста Alicos 190 гр,Антипасти,3 500 Т,Алматы
Alicos Брускетта с помидорами и перцем 190 гр,Антипасти,3 600 Т,Алматы
