Название продукта,Категория продукта,Цена продукта,Город
Qyzyl Saia Бастурма из конины 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Жая сур ет уп 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Бастурма из говядины 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Ассорти конина сур ет уп 180 гр,Мясо,6 800 Т,Астана
Qyzyl Saia Грудинка говядина сур ет уп 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Карбонад из говядины сур ет уп 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Шужук сур ет вес ±400 гр,Мясо,17 500 Т,Астана
Cinco Jotas Хамон Иберико нарезка слайсами 70 гр/уп,Мясо,19 800 Т,Астана
Qyzyl Saia Жамбас сур ет уп 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Казы сур ет вес ±300 гр,Мясо,18 500 Т,Астана
Qyzyl Saia Ассорти говядины сур ет уп 180 гр,Мясо,6 800 Т,Астана
Qyzyl Saia Филе говядины сур ет уп 60 гр,Мясо,2 500 Т,Астана
Qyzyl Saia Жая сур ет вес ±500 гр,Мясо,19 800 Т,Астана
Прошутто-ди-Пармо на кости (Пармская ветчина) 30 мес вес 10 - 11 кг,Мясо,25 000 Т,Астана
Cinco Jotas Лопатка Иберико нарезка слайсами 70 гр/уп,Мясо,15 800 Т,Астана
Qyzyl Saia Казы в череве сур ет вес ±125 гр,Мясо,29 500 Т,Астана
Cinco Jotas Лопатка Иберико на кости 5-6 кг,Мясо,89 000 Т,Астана
Cinco Jotas Хамон Иберико на кости 6-7 кг,Мясо,110 000 Т,Астана
Артишок на гриле сердцевина Le Bonta 314 мл,Антипасти,4 500 Т,Астана
Le Bonta Перец черри с сыром 314 мл,Антипасти,4 500 Т,Астана
Артишок со стеблями All Romana по-римски 580 мл,Антипасти,6 000 Т,Астана
Оливки Микс Барисейн Le Bonta 314 мл,Антипасти,3 500 Т,Астана
"Оливки фиолетовые ""Saporite"" Le Bonta 314 мл",Антипасти,3 500 Т,Астана
Перец на Гриле в масле Le Bonta 314 мл,Антипасти,3 500 Т,Астана
Песто алла Дженовезе Le Bonta 212 мл,Антипасти,3 000 Т,Астана
Le Bonta Оливки зеленые сорта Bella di Cerignola 314 мл,Антипасти,3 500 Т,Астана
"Перец Черри с Тунцом и Каперсами, Le Bonta 314 мл",Антипасти,4 500 Т,Астана
"Джем инжирный Le Bonta, 314 мл",Антипасти,3 500 Т,Астана
Le Bonta Антипасто Рустико в масле 314 мл,Антипасти,3 500 Т,Астана
Грибной Микс Le Bonta 314 мл,Антипасти,3 500 Т,Астана
Помидоры вяленые alla Pugliese Le Bonta 314 мл,Антипасти,4 200 Т,Астана
Оливки зеленые сорта Bella di Cerignola Le Bonta 580 мл,Антипасти,4 500 Т,Астана
Каперсы на веточке Le Bonta 314 мл,Антипасти,3 500 Т,Астана
Маринованное Филе Анчоуса Medusa 200 гр,Антипасти,3 990 Т,Астана
Le Bonta Песто алла Дженовезе 580 мл,Антипасти,4 300 Т,Астана
Le Bonta Оливки Зеленые сорта Bella di Cerignola 3100 гр 7/9,Антипасти,18 800 Т,Астана
Помидоры вяленые alla Pugliese Le Bonta  580 мл,Антипасти,4 800 Т,Астана
Соус с Базиликом Le Bonta 314 мл,Антипасти,2 900 Т,Астана
Оливки черные и зеленые без косточек Gustose Le Bonta 314 мл,Антипасти,3 500 Т,Астана
Баклажаны на гриле Le Bonta 314 мл,Антипасти,2 800 Т,Астана
Le Bonta Соус Аллараббиата 314 мл,Антипасти,2 900 Т,Астана
Le Bonta Шампиньоны на гриле 314 мл,Антипасти,3 500 Т,Астана
Миндальная паста Alicos 190 гр,Антипасти,3 500 Т,Астана
Alicos Брускетта с помидорами и перцем 190 гр,Антипасти,3 600 Т,Астана
Джем из красного Сицилийского апельсина Alicos 110 гр,Антипасти,2 500 Т,Астана
Plaza Del Sol Оливки целые Гордал 350 гр,Антипасти,2 200 Т,Астана
Plaza Del Sol Оливки с лимоном 280 гр,Антипасти,1 700 Т,Астана
Plaza Del Sol Гаспачо 750 мл,Антипасти,2 490 Т,Астана
Филе сардин Medusa 1000 гр,Антипасти,17 500 Т,Астана
Каперсы в соли Le Bonta 212 мл,Антипасти,2 800 Т,Астана
Plaza Del Sol Оливки с лососем 280 гр,Антипасти,1 700 Т,Астана
Джем грушевый Le Bonta 314 мл,Антипасти,3 000 Т,Астана
Plaza Del Sol Оливки с анчоусами 280 гр,Антипасти,1 700 Т,Астана
